กลุ่มยาหลัก (Major Category),กลุ่มประเภทยา (Drug Class),รหัส ATC (ATC Code),ชื่อสามัญทางยา (Generic Name),ตัวอย่างชื่อการค้าที่พบบ่อย (Common Trade Names in TH),กลไกเพิ่มความเสี่ยงหกล้ม (Mechanism of Fall Risk),แนวทางการปรับลดยา (Deprescribing Strategy / Clinical Management),ระดับคำแนะนำตามเกณฑ์สากล (AGS Beers / STOPP-Fall Recommendation)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Antipsychotics (Atypical),N05AX08,Risperidone,"Risperdal, Rispomed",EPS ขาสั่น ความดันตกเมื่อเปลี่ยนท่า (Orthostatic Hypotension),ใช้ขนาดต่ำสุด (0.25-0.5 mg) จำกัดระยะเวลาใช้ไม่เกิน 6-12 สัปดาห์,จำกัดการใช้และลดขนาดยา (High Risk)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Antipsychotics (Atypical),N05AH04,Quetiapine,"Seroquel, Ketipinor",ฤทธิ์กดประสาทง่วงซึมรุนแรง ความดันตกเฉียบพลันขณะลุกยืน,ห้ามใช้รักษาแค่อาการนอนไม่หลับ ค่อยๆ ลดยาลง 25 mg ทุก 1 สัปดาห์,หลีกเลี่ยงการใช้เป็นยานอนหลับ (High Risk)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Antipsychotics (Atypical),N05AH03,Olanzapine,"Zyprexa, Olapin",ง่วงซึม น้ำหนักเพิ่ม ความดันตก มึนงง,ลดขนาดยาลงช้าๆ ประเมินอาการทางจิต,หลีกเลี่ยงหากไม่มีข้อบ่งชี้ทางจิต (High Risk)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Antipsychotics (Typical),N05AA01,Chlorpromazine,Largactil,Anticholinergic สูงมาก ง่วงซึม ความดันตกอย่างรุนแรง,เปลี่ยนเป็นยาอื่นที่มีฤทธิ์ Anticholinergic ต่ำกว่า หรือหยุดยา,หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Antipsychotics (Typical),N05AB03,Perphenazine,Trilafon,EPS เดินเซ กล้ามเนื้อเกร็งผิดปกติ,ค่อยๆ ลดขนาดยาและประเมินอาการเคลื่อนไหวผิดปกติ,ระมัดระวังการใช้ (High Risk)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Antipsychotics (Atypical),N05AX12,Aripiprazole,Abilify,อาการกระวนกระวาย ผุดลุกผุดนั่ง (Akathisia) ทำให้ก้าวเดินไม่มั่นคง,ปรับลดขนาดยาหากเกิด Akathisia,ติดตามอาการกระสับกระส่าย (Moderate-High)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Antipsychotics (Atypical),N05AH02,Clozapine,Clozaril,ง่วงซึมรุนแรง ความดันตก หัวใจเต้นเร็ว สับสน,ติดตามขนาดยาอย่างใกล้ชิดและตรวจเม็ดเลือดขาว,ใช้เฉพาะจิตเภทดื้อยา (High Risk)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Tricyclic Antidepressants (TCA),N06AA09,Amitriptyline,"Endep, Tryptanol",Anticholinergic สูงมาก ตาพร่า มึนงง ปากแห้ง ความดันตก ลุกยืนหน้ามืด,เปลี่ยนเป็นยากลุ่ม SSRI (Sertraline) หรือ SNRI แทน หรือลดขนาดยาลง,หลีกเลี่ยงเด็ดขาดในผู้สูงอายุ (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Tricyclic Antidepressants (TCA),N06AA10,Nortriptyline,"Nortrilen, Pamelor",Anticholinergic ปานกลาง ความดันตก ง่วงซึม,ลดขนาดยาลง ไม่ควรใช้รักษาอาการปวดประสาทเป็นตัวเลือกแรกในผู้สูงอายุ,หลีกเลี่ยงหากมีทางเลือกอื่น (High Risk)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Tricyclic Antidepressants (TCA),N06AA02,Imipramine,Tofranil,Anticholinergic สูง หัวใจเต้นผิดจังหวะ ความดันตก,หยุดยาและเปลี่ยนไปใช้กลุ่ม SSRI,หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),SSRI Antidepressants,N06AB06,Sertraline,"Zoloft, Serlift",มึนงง นอนไม่หลับ ภาวะโซเดียมในเลือดต่ำ (SIADH/Hyponatremia) เสียการทรงตัว,ตรวจระดับโซเดียมในเลือด หากหายเศร้าแล้ว 6-9 เดือน ให้พิจารณาหยุดยาช้าๆ,ปลอดภัยกว่า TCA แต่ต้องเฝ้าระวังโซเดียมต่ำ (Moderate Risk)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),SSRI Antidepressants,N06AB03,Fluoxetine,"Prozac, Oxetin",กระวนกระวาย สั่น นอนไม่หลับ โซเดียมในเลือดต่ำ,ประเมินความจำเป็น ค่อยๆ ลดขนาดเนื่องจากครึ่งชีวิตยาวนาน,ระวังยาตีกันและโซเดียมต่ำ (Moderate-High)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),SSRI Antidepressants,N06AB10,Escitalopram,"Lexapro, Esita",เวียนศีรษะ โซเดียมต่ำ คลื่นไฟฟ้าหัวใจ QT ยาว,จำกัดขนาดไม่เกิน 10 mg/วัน ในผู้สูงอายุ ทบทวนหยุดยาเมื่ออาการสงบ,จำกัดขนาดยาในผู้สูงอายุ (Moderate Risk)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),SNRI Antidepressants,N06AX16,Venlafaxine,Efexor,ความดันโลหิตแปรปรวน เวียนศีรษะ เดินเซ,ค่อยๆ ลดขนาดยาช้าๆ เพื่อเลี่ยง Discontinuation Syndrome,เฝ้าระวังความดันโลหิต (Moderate-High)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),SNRI Antidepressants,N06AX21,Duloxetine,Cymbalta,ง่วงซึม คลื่นไส้ ความดันตกเมื่อยืน,ประเมินข้อบ่งใช้ปวดเส้นประสาท ลดขนาดยาหากอาการคงที่,ระวังการทรงตัวในผู้สูงอายุ (Moderate-High)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Tetracyclic Antidepressants,N06AX11,Mirtazapine,"Remeron, Mirzaten",ง่วงซึมรุนแรงมาก อยากอาหาร มึนงงตอนเช้า,ให้ทานก่อนนอน ไม่ใช้ขนาดต่ำเพื่อเป็นยานอนหลับอย่างเดียว,ระวังอาการง่วงตกค้าง (High Risk for falls)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),SARI Antidepressants,N06AX05,Trazodone,"Desyrel, Trittico",ความดันตกในท่ายืนรุนแรง ง่วงซึม เวียนศีรษะ,หลีกเลี่ยงการใช้เป็นยานอนหลับเดี่ยวๆ ค่อยๆ ปรับลดขนาดยา,ระวังความดันตกเฉียบพลัน (High Risk)
ยากลุ่มระบบประสาท (Neurological Drugs),Gabapentinoids,N03AX12,Gabapentin,"Neurontin, Gabapentin",ง่วงซึม เวียนศีรษะ เดินเซผิดปกติ (Ataxia/Gait unsteadiness) ขาบวม,ปรับลดขนาดยาตามการทำงานของไต (CrCl) ลดขนาดยาทีละ 100-300 mg ทุก 3-5 วัน,ปรับลดขนาดตามไตและเฝ้าระวังการเดินเซ (High Risk)
ยากลุ่มระบบประสาท (Neurological Drugs),Gabapentinoids,N03AX16,Pregabalin,Lyrica,เวียนศีรษะรุนแรง ง่วงซึม เสียสมดุลการเดิน ตาพร่า,เริ่มขนาดต่ำ (25-50 mg) ปรับลดขนาดยาช้าๆ ก่อนหยุด,ระวังการหกล้มอย่างยิ่ง (High Risk)
ยากลุ่มระบบประสาท (Neurological Drugs),Antiepileptics,N03AG01,Sodium Valproate,Depakine,มือสั่น (Tremor) ง่วงซึม เดินเซ เสียการทรงตัว,ติดตามระดับยาในเลือด ปรับลดขนาดหากควบคุมอาการชักได้ดี,เฝ้าระวังอาการสั่นและเดินเซ (High Risk)
ยากลุ่มระบบประสาท (Neurological Drugs),Antiepileptics,N03AB02,Phenytoin,Dilantin,เดินเซ (Ataxia) ลูกตาแกว่ง (Nystagmus) สับสน กระดูกพรุน,ติดตาม Free phenytoin level ในผู้สูงอายุ หลีกเลี่ยงระดับยาเกินเกณฑ์,เฝ้าระวังระดับยาสูงจนเดินเซ (High Risk)
ยากลุ่มระบบประสาท (Neurological Drugs),Antiepileptics,N03AF01,Carbamazepine,Tegretol,มึนงง เดินเซ โซเดียมในเลือดต่ำ (Hyponatremia) รุนแรง,ตรวจระดับโซเดียมเป็นประจำ พิจารณาเปลี่ยนเป็นยาอื่นที่ปลอดภัยกว่า,ระวังโซเดียมต่ำและเดินเซ (High Risk)
ยากลุ่มระบบประสาท (Neurological Drugs),Antiepileptics,N03AX14,Levetiracetam,Keppra,ง่วงซึม อ่อนแรง อารมณ์แปรปรวน,ปรับขนาดยาตามการทำงานของไต,ค่อนข้างปลอดภัยกว่ากลุ่มดั้งเดิมแต่ยังมีความเสี่ยงง่วงซึม (Moderate Risk)
ยากลุ่มระบบประสาท (Neurological Drugs),Antiepileptics,N03AA02,Phenobarbital,Phenobarbitone,กดประสาทส่วนกลางยาวนาน ง่วงซึม พุทธิปัญญาเสื่อมถอย เสียสมดุลรุนแรง,ค่อยๆ ลดยาลงช้าๆ หลายเดือนเพื่อป้องกันภาวะชักกำเริบ (Withdrawal seizures),หลีกเลี่ยงเด็ดขาดในผู้สูงอายุ (Strongly Avoid)
ยากลุ่มแก้ปวดและระบบประสาท (Analgesics),Opioids / Central Analgesics,N02AX02,Tramadol,"Tramal, Ultracet (comb)",เวียนศีรษะ คลื่นไส้ ง่วงซึม สับสนเฉียบพลัน เสี่ยง Serotonin syndrome,หลีกเลี่ยงการใช้ระยะยาวในผู้สูงอายุ ค่อยๆ ลดขนาดลง เปลี่ยนเป็นพาราเซตามอลหรือยาทาเฉพาะที่,หลีกเลี่ยงการใช้รักษาปวดเรื้อรัง (Strongly Avoid)
ยากลุ่มแก้ปวดและระบบประสาท (Analgesics),Strong Opioids,N02AA01,Morphine,"MST Continus, Morphine sulfate",ง่วงซึม เวียนศีรษะ ชะลอรีเฟล็กซ์ ความดันตก ท้องผูก,จำกัดการใช้เฉพาะมะเร็งหรือปวดเฉียบพลันรุนแรง ปรับลดขนาดยาเมื่ออาการปวดบรรเทา,ใช้เฉพาะข้อบ่งชี้จำเป็นและเฝ้าระวังใกล้ชิด (High Risk)
ยากลุ่มแก้ปวดและระบบประสาท (Analgesics),Strong Opioids,N02AB03,Fentanyl,Durogesic (patch),ง่วงซึม กดประสาท ความดันตก แผ่นแปะอาจดูดซึมเร็วขึ้นหากตัวร้อน,ทบทวนการใช้แผ่นแปะ ลดขนาดยาทีละระดับ,ใช้เฉพาะปวดรุนแรงจากมะเร็ง (High Risk)
ยากลุ่มแก้ปวดและระบบประสาท (Analgesics),Opioids,N02AJ06,Codeine,Codipront (comb),ง่วงซึม ท้องผูก วิงเวียนศีรษะ,จำกัดระยะเวลาใช้ไม่เกิน 3-5 วัน,หลีกเลี่ยงการใช้แก้ไอเรื้อรัง (High Risk)
ยากลุ่มกระดูกและข้อ (Musculoskeletal),NSAIDs (Non-selective),M01AE01,Ibuprofen,"Brufen, Ibuman",บวมน้ำ ความดันโลหิตสูงขึ้น ไตวายเฉียบพลัน กล้ามเนื้ออ่อนแรง,หยุดยา ใช้พาราเซตามอล ยาทาภายนอก (Diclofenac gel) หรือกายภาพบำบัดทดแทน,หลีกเลี่ยงการใช้ระยะยาว (Strongly Avoid)
ยากลุ่มกระดูกและข้อ (Musculoskeletal),NSAIDs (COX-2 selective),M01AH01,Celecoxib,"Celebrex, Cobix",คั่งน้ำ ความดันโลหิตสูงขึ้น เพิ่มความเสี่ยงหัวใจและหลอดเลือด,ใช้ขนาดยาต่ำสุดในระยะเวลาสั้นที่สุด (PRN) ไม่ควรสั่งต่อเนื่องเกิน 2-4 สัปดาห์,จำกัดระยะเวลาใช้สั้นที่สุด (Moderate-High)
ยากลุ่มกระดูกและข้อ (Musculoskeletal),NSAIDs (COX-2 selective),M01AH05,Etoricoxib,Arcoxia,ความดันโลหิตพุ่งสูงขึ้นอย่างรวดเร็ว บวมน้ำ มึนงง,ใช้เฉพาะปวดเฉียบพลันไม่เกิน 7-14 วัน ตรวจวัดความดันโลหิตเสมอ,หลีกเลี่ยงในผู้ป่วยความดันสูง (High Risk)
ยากลุ่มกระดูกและข้อ (Musculoskeletal),NSAIDs (Non-selective),M01AB05,Diclofenac,"Voltaren, Difelene",คั่งน้ำ ไตเสื่อม ความดันขึ้น หลอดเลือดสมอง/หัวใจ,เปลี่ยนเป็นยาทาภายนอก หลีกเลี่ยงยาฉีดในผู้สูงอายุ,หลีกเลี่ยงการใช้ประจำ (Strongly Avoid)
ยากลุ่มกระดูกและข้อ (Musculoskeletal),NSAIDs (Non-selective),M01AC06,Meloxicam,Mobic,บวมน้ำ ความดันตกหรือสูงขึ้น ไตวาย,ทบทวนการใช้ยาและหยุดยาเมื่ออาการดีขึ้น,หลีกเลี่ยงการใช้ระยะยาว (High Risk)
ยากลุ่มกระดูกและข้อ (Musculoskeletal),NSAIDs (Non-selective),M01AG01,Mefenamic acid,Ponstan,ปวดศีรษะ วิงเวียน เลือดออกทางเดินอาหาร ไตวาย,จำกัดการใช้ไม่เกิน 3 วัน ไม่ใช้รักษาข้อเสื่อมเรื้อรัง,หลีกเลี่ยงเด็ดขาดในผู้สูงอายุ (Strongly Avoid)
ยากลุ่มระบบทางเดินหายใจ (Respiratory),First-generation Antihistamines,R06AB02,Chlorpheniramine (CPM),"CPM, Piriton",Anticholinergic ฤทธิ์สูงมาก ง่วงซึม ตาพร่า สับสน มึนงง ปัสสาวะคั่ง,"เปลี่ยนไปใช้กลุ่มรุ่นที่สอง เช่น Cetirizine, Loratadine หรือ Fexofenadine",หลีกเลี่ยงเด็ดขาดในผู้สูงอายุ (Strongly Avoid)
ยากลุ่มระบบทางเดินหายใจ (Respiratory),First-generation Antihistamines,R06AA02,Diphenhydramine,Benadryl,ง่วงซึมรุนแรง สูญเสียการควบคุมกล้ามเนื้อ สับสนเฉียบพลัน (Delirium),หยุดยาเด็ดขาด ไม่ใช้เป็นยานอนหลับหรือแก้แพ้ในผู้สูงอายุ,หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มระบบทางเดินหายใจ (Respiratory),First-generation Antihistamines,R06AX02,Cyproheptadine,Periactin,ง่วงซึม เจริญอาหาร Anticholinergic สูงมาก ตาพร่า เดินเซ,หยุดยาเด็ดขาด ไม่ใช้เป็นยาเจริญอาหารในผู้สูงอายุ,หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มระบบทางเดินหายใจ (Respiratory),First-generation Antihistamines,N07CA01,Dimenhydrinate,Dramamine,ง่วงซึม มึนงง ปฏิกิริยาช้าลง สับสน,ใช้เฉพาะเวียนศีรษะเฉียบพลัน 1-2 วัน ไม่ควรใช้ระยะยาว เปลี่ยนเป็น Betahistine,หลีกเลี่ยงการใช้ต่อเนื่อง (High Risk)
ยากลุ่มระบบทางเดินหายใจ (Respiratory),First-generation Antihistamines,N05BB01,Hydroxyzine,Atarax,ง่วงซึม Anticholinergic สูง หัวใจเต้นผิดจังหวะ (QT prolongation),เปลี่ยนเป็นยาทาแก้คัน หรือยาแก้แพ้รุ่นใหม่ที่ไม่ง่วง,หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Loop Diuretics,C03CA01,Furosemide,Lasix,"ปัสสาวะบ่อย รีบเดินไปห้องน้ำสะดุดล้ม (Urinary urgency), ปริมาตรเลือดลด ความดันตก, เกลือแร่ต่ำ","ให้ทานเฉพาะช่วงเช้า ไม่ทานก่อนนอน, ประเมินภาวะบวม หากไม่มีภาวะคั่งน้ำให้ปรับลดขนาดยา",ระวังความดันตกและรีบเข้าห้องน้ำ (High Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Thiazide Diuretics,C03AA03,Hydrochlorothiazide (HCTZ),"HCTZ, Dichlotride",โซเดียมและโพแทสเซียมในเลือดต่ำ กล้ามเนื้ออ่อนแรง ความดันตกเมื่อยืน,จำกัดขนาดยาไม่เกิน 12.5-25 mg/วัน ตรวจเกลือแร่สม่ำเสมอ,ติดตามเกลือแร่และความดันตก (Moderate-High)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Thiazide-like Diuretics,C03BA11,Indapamide,Natrilix SR,ความดันตก เกลือแร่ต่ำ อ่อนเพลีย,ตรวจติดตามความดันโลหิตและเกลือแร่ในเลือด,เฝ้าระวังความดันต่ำ (Moderate Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Potassium-sparing Diuretics,C03DA01,Spironolactone,Aldactone,โพแทสเซียมในเลือดสูง ความดันตกเมื่อลุกยืน ขาดน้ำ,ตรวจการทำงานของไตและระดับโพแทสเซียม ปรับขนาดตามข้อบ่งใช้,ระวังโพแทสเซียมสูงและความดันตก (Moderate-High)
ยากลุ่มระบบทางเดินปัสสาวะและหลอดเลือด,Non-selective Alpha-1 Blockers,C02CA04,Doxazosin,Cardura,ขยายหลอดเลือดรุนแรง ความดันโลหิตตกฮวบเมื่อลุกยืน (Severe Orthostatic Hypotension),หากใช้ลดความดันให้เปลี่ยนเป็นยากลุ่มอื่น หากใช้ต่อมลูกหมากโตให้เปลี่ยนเป็น Finasteride หรือ Tamsulosin,หลีกเลี่ยงเป็นยาลดความดันในผู้สูงอายุ (Strongly Avoid)
ยากลุ่มระบบทางเดินปัสสาวะและหลอดเลือด,Non-selective Alpha-1 Blockers,C02CA01,Prazosin,Minipress,First-dose syncope หน้ามืดเป็นลมหมดสติตั้งแต่เม็ดแรก ความดันตก,หลีกเลี่ยงการใช้เด็ดขาด เปลี่ยนเป็นยาตัวอื่น,หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มระบบทางเดินปัสสาวะและหลอดเลือด,Uro-selective Alpha-1 Blockers,G04CA02,Tamsulosin,Harnal Ocas,เจาะจงต่อทางเดินปัสสาวะมากกว่า แต่ยังมีความเสี่ยงเวียนศีรษะและความดันตกในผู้สูงอายุมาก,รับประทานหลังอาหารมื้อเดิมเป็นประจำ ระวังเวลาลุกจากเตียง,ปลอดภัยกว่า Doxazosin แต่ต้องระวังการเปลี่ยนท่า (Moderate Risk)
ยากลุ่มระบบทางเดินปัสสาวะและหลอดเลือด,Alpha-1 Blockers,G04CA01,Alfuzosin,Xatral XL,วิงเวียนศีรษะ อ่อนเพลีย ความดันตก,รับประทานหลังอาหารเย็น ติดตามความดันโลหิต,ระวังความดันตก (Moderate Risk)
ยากลุ่มระบบทางเดินปัสสาวะและหลอดเลือด,Alpha-1 Blockers,G04CA04,Silodosin,Urief,ความดันตก หน้ามืด หลั่งอสุจิย้อนทาง,ใช้ขนาดเหมาะสม ติดตามอาการมึนงง,ระวังการทรงตัว (Moderate Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Centrally Acting Antihypertensives,C02AC01,Clonidine,Catapres,ง่วงซึม หัวใจเต้นช้า ความดันตกเฉียบพลัน Rebound hypertension รุนแรงเมื่อขาดยา,ค่อยๆ ลดขนาดยาลงช้าๆ เปลี่ยนไปใช้กลุ่ม CCB หรือ ACEi/ARB ที่ปลอดภัยกว่า,หลีกเลี่ยงเด็ดขาดในผู้สูงอายุ (Strongly Avoid)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Centrally Acting Antihypertensives,C02AB01,Methyldopa,Aldomet,ง่วงซึม อ่อนเพลีย สับสน ภาวะซึมเศร้า หัวใจเต้นช้า,หยุดยาและเปลี่ยนเป็นยากลุ่มอื่น (ไม่เหมาะกับผู้สูงอายุ),หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Direct Vasodilators,C02DB02,Hydralazine,Apresoline,หัวใจเต้นเร็ว ใจสั่น เวียนศีรษะ ความดันตก ปวดศีรษะ,หลีกเลี่ยงการใช้เป็นยาเดี่ยว ทบทวนขนาดยาและหยุดยาหากควบคุมความดันได้,ระวังหัวใจเต้นเร็วและความดันตก (Moderate-High)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Dihydropyridine CCBs,C08CA01,Amlodipine,"Norvasc, Amdepin","ข้อเท้าบวม (Peripheral edema), ความดันโลหิตต่ำเกินไป, หน้ามืดเวียนศีรษะ",หากขาบวมหรือความดันต่ำกว่าเป้าหมาย (SBP < 110-120) ปรับลดขนาดจาก 10 mg เป็น 5 mg หรือ 2.5 mg,ปรับขนาดยาเพื่อป้องกันความดันต่ำเกินไป (Moderate Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Dihydropyridine CCBs,C08CA02,Felodipine,Plendil,หน้าแดง วิงเวียน บวมน้ำ ความดันตก,ลดขนาดยาลงให้สัมพันธ์กับเป้าหมายความดันโลหิต,ระวังความดันต่ำ (Moderate Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Dihydropyridine CCBs,C08CA05,Nifedipine,Adalat CR,หากเป็นชนิดออกฤทธิ์สั้นจะทำให้ความดันฮวบเฉียบพลัน เลือดไปเลี้ยงสมองไม่พอ,ห้ามใช้ชนิดออกฤทธิ์สั้นเด็ดขาด ใช้เฉพาะชนิดออกฤทธิ์ยาว (CR/GITS),หลีกเลี่ยงชนิดออกฤทธิ์สั้น (Short-acting: Strongly Avoid)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Non-dihydropyridine CCBs,C08DB01,Diltiazem,Herbesser,หัวใจเต้นช้าลงมาก ความดันตก บวมน้ำ,ติดตามอัตราการเต้นของหัวใจ (HR < 50-60 bpm ควรลดหรือหยุดยา),ระวังหัวใจเต้นช้า (Moderate Risk)
ยากลุ่มระบบหัวใจและหลอดเลือด (Cardiovascular),Non-dihydropyridine CCBs,C08DA01,Verapamil,Isoptin,หัวใจเต้นช้า ท้องผูกรุนแรง ความดันตก หัวใจวายกำเริบ,หลีกเลี่ยงในผู้ป่วยหัวใจบีบตัวลดลง ทบทวนหยุดยา,หลีกเลี่ยงในผู้สูงอายุที่มีหัวใจล้มเหลว (High Risk)
